Day,Month,date,Year, Temperature (øF) Max,Temperature (øF) Min,Dew Point (øF) Max,Dew Point (øF) Min,Humidity Max,Humidity Min,Wind Speed Max, Wind Speed Min,Pressure Max,Pressure Min
1,1,01.01.2001,2001,79,0,52,0,63,0,15,0,30,0
2,1,02.01.2001,2001,79,0,55,0,73,0,9,0,30,0
3,1,03.01.2001,2001,79,0,54,0,82,0,9,0,30,0
4,1,04.01.2001,2001,79,50,50,28,68,17,14,0,30,0
5,1,05.01.2001,2001,79,0,52,0,58,0,9,0,30,0
6,1,06.01.2001,2001,77,0,55,0,77,0,10,0,30,0
7,1,07.01.2001,2001,81,0,55,0,77,0,12,0,30,0
8,1,08.01.2001,2001,77,55,48,28,77,17,12,0,30,0
9,1,09.01.2001,2001,77,0,52,0,71,0,9,0,30,0
10,1,10.01.2001,2001,77,0,52,0,64,0,9,0,30,0
11,1,11.01.2001,2001,77,57,59,46,82,44,12,0,30,0
12,1,12.01.2001,2001,84,54,57,41,82,24,10,0,30,0
13,1,13.01.2001,2001,81,0,52,0,60,0,9,0,30,0
14,1,14.01.2001,2001,81,0,59,0,78,0,9,0,30,0
15,1,15.01.2001,2001,81,0,59,0,82,0,12,0,30,0
16,1,16.01.2001,2001,81,0,57,0,82,0,12,0,30,0
17,1,17.01.2001,2001,81,54,48,0,63,10,12,0,30,0
18,1,18.01.2001,2001,82,54,45,0,58,14,9,0,30,0
19,1,19.01.2001,2001,81,54,54,0,56,14,9,0,30,0
20,1,20.01.2001,2001,79,55,59,34,73,24,12,0,30,0
21,1,21.01.2001,2001,86,59,63,52,82,37,15,0,30,0
22,1,22.01.2001,2001,81,0,63,0,82,0,14,0,30,0
23,1,23.01.2001,2001,79,55,48,14,72,9,12,0,30,0
24,1,24.01.2001,2001,82,0,46,0,55,0,9,0,30,0
25,1,25.01.2001,2001,79,0,61,0,78,0,8,0,30,0
26,1,26.01.2001,2001,84,0,59,0,88,0,12,0,30,0
27,1,27.01.2001,2001,86,0,57,0,77,0,9,0,30,0
28,1,28.01.2001,2001,84,57,64,30,83,18,15,0,30,0
29,1,29.01.2001,2001,81,61,64,36,88,21,20,0,30,0
30,1,30.01.2001,2001,75,0,46,-8,63,0,17,0,30,0
31,1,31.01.2001,2001,77,0,48,0,94,0,8,0,30,0
1,2,01.02.2001,2001,79,0,48,0,66,0,9,0,30,30
2,2,02.02.2001,2001,81,50,46,0,49,6,12,0,30,0
3,2,03.02.2001,2001,77,0,50,0,72,0,12,0,30,0
4,2,04.02.2001,2001,81,54,55,41,77,24,14,0,30,0
5,2,05.02.2001,2001,79,0,61,0,78,0,7,0,30,0
6,2,06.02.2001,2001,81,0,61,0,83,0,9,0,30,0
7,2,07.02.2001,2001,82,0,61,0,82,0,10,0,30,0
8,2,08.02.2001,2001,86,0,57,0,88,0,15,0,30,0
9,2,09.02.2001,2001,86,0,61,0,65,0,14,0,30,0
10,2,10.02.2001,2001,90,0,61,0,82,0,70,0,30,0
11,2,11.02.2001,2001,90,0,52,0,60,0,9,0,30,0
12,2,12.02.2001,2001,90,0,52,0,67,0,14,0,30,0
13,2,13.02.2001,2001,82,0,61,0,69,0,12,0,30,0
14,2,14.02.2001,2001,81,0,52,0,59,0,14,0,30,0
15,2,15.02.2001,2001,84,59,54,0,59,14,10,0,30,0
16,2,16.02.2001,2001,84,0,59,0,68,0,12,0,30,0
17,2,17.02.2001,2001,86,0,59,0,77,0,9,0,30,0
18,2,18.02.2001,2001,90,0,61,0,83,0,10,0,30,0
19,2,19.02.2001,2001,88,64,66,45,78,24,8,0,30,0
20,2,20.02.2001,2001,86,70,68,48,88,37,10,0,30,0
21,2,21.02.2001,2001,88,66,68,61,88,45,12,0,30,0
22,2,22.02.2001,2001,84,70,68,61,88,48,13,0,30,0
23,2,23.02.2001,2001,86,0,66,0,88,0,17,0,30,0
24,2,24.02.2001,2001,84,72,68,63,78,48,21,0,30,0
25,2,25.02.2001,2001,91,73,68,0,83,9,17,0,30,0
26,2,26.02.2001,2001,88,63,55,0,68,8,12,0,30,0
27,2,27.02.2001,2001,86,0,109,0,57,0,10,0,30,0
28,2,28.02.2001,2001,90,63,59,0,77,7,13,0,30,0
1,3,01.03.2001,2001,88,0,57,0,64,0,690,0,30,0
2,3,02.03.2001,2001,88,0,37,0,30,0,16,0,30,0
3,3,03.03.2001,2001,90,61,55,0,53,7,12,0,30,0
4,3,04.03.2001,2001,91,0,54,0,56,0,12,0,30,0
5,3,05.03.2001,2001,91,61,55,16,64,6,14,0,30,0
6,3,06.03.2001,2001,86,59,66,54,100,40,16,0,30,0
7,3,07.03.2001,2001,88,66,68,55,88,33,12,0,30,0
8,3,08.03.2001,2001,91,66,68,45,88,20,13,0,30,0
9,3,09.03.2001,2001,93,0,64,0,78,0,8,0,30,0
10,3,10.03.2001,2001,97,61,61,0,73,6,10,0,30,0
11,3,11.03.2001,2001,97,54,61,0,73,0,10,0,30,0
12,3,12.03.2001,2001,91,0,66,0,83,0,14,0,30,0
13,3,13.03.2001,2001,86,0,68,0,78,0,14,0,30,0
14,3,14.03.2001,2001,88,0,68,0,78,0,14,0,30,0
15,3,15.03.2001,2001,95,68,64,39,78,14,15,0,30,0
16,3,16.03.2001,2001,95,68,66,0,73,9,14,0,30,0
17,3,17.03.2001,2001,97,70,66,50,78,20,9,0,30,0
18,3,18.03.2001,2001,91,72,70,55,78,31,15,0,30,0
19,3,19.03.2001,2001,88,73,70,66,83,52,15,0,30,0
20,3,20.03.2001,2001,91,0,72,0,83,0,12,0,30,0
21,3,21.03.2001,2001,90,0,70,0,78,0,16,0,30,0
22,3,22.03.2001,2001,91,72,70,64,83,43,12,0,30,0
23,3,23.03.2001,2001,95,73,70,48,88,20,18,0,30,0
24,3,24.03.2001,2001,91,0,70,0,83,0,17,0,30,0
25,3,25.03.2001,2001,93,77,70,36,74,13,21,0,30,0
26,3,26.03.2001,2001,91,0,73,0,83,0,21,0,30,0
27,3,27.03.2001,2001,88,77,72,66,83,51,18,0,30,0
28,3,28.03.2001,2001,90,75,68,41,74,19,18,0,30,0
29,3,29.03.2001,2001,90,0,63,0,65,0,17,0,30,0
30,3,30.03.2001,2001,91,68,66,0,73,12,14,0,30,0
31,3,31.03.2001,2001,90,0,72,0,78,0,12,0,30,0
1,4,01.04.2001,2001,93,72,70,52,88,26,12,0,30,0
2,4,02.04.2001,2001,95,0,70,0,88,0,13,0,30,0
3,4,03.04.2001,2001,95,73,73,64,89,41,14,0,30,0
4,4,04.04.2001,2001,102,72,70,0,78,9,12,0,30,0
5,4,05.04.2001,2001,102,0,64,0,69,0,14,0,30,0
6,4,06.04.2001,2001,99,0,64,0,69,0,15,0,30,0
7,4,07.04.2001,2001,100,68,63,16,65,5,17,0,30,0
8,4,08.04.2001,2001,95,72,66,54,73,25,18,0,30,0
9,4,09.04.2001,2001,93,0,66,0,73,0,23,0,30,0
10,4,10.04.2001,2001,91,0,73,0,79,0,20,0,30,0
11,4,11.04.2001,2001,93,0,75,0,89,0,18,0,30,0
12,4,12.04.2001,2001,90,0,73,0,83,0,14,0,30,0
13,4,13.04.2001,2001,90,0,72,0,83,0,14,0,30,0
14,4,14.04.2001,2001,95,0,72,0,83,0,15,0,30,0
15,4,15.04.2001,2001,91,0,72,0,78,0,15,5,30,0
16,4,16.04.2001,2001,90,77,72,66,78,49,13,0,56,30
17,4,17.04.2001,2001,90,77,72,70,78,52,14,0,30,0
18,4,18.04.2001,2001,90,0,72,0,83,0,18,0,30,0
19,4,19.04.2001,2001,91,77,73,63,89,43,13,0,30,0
20,4,20.04.2001,2001,95,0,73,0,83,0,14,3,30,0
21,4,21.04.2001,2001,95,77,73,64,89,43,12,0,30,0
22,4,22.04.2001,2001,91,75,70,66,83,43,17,0,30,0
23,4,23.04.2001,2001,95,77,72,68,83,41,16,0,30,0
24,4,24.04.2001,2001,93,0,75,0,84,0,14,0,30,30
25,4,25.04.2001,2001,99,81,75,66,84,35,16,0,30,30
26,4,26.04.2001,2001,97,81,73,57,79,27,17,0,30,0
27,4,27.04.2001,2001,93,0,75,0,79,0,16,0,30,0
28,4,28.04.2001,2001,91,0,91,0,84,0,18,8,30,0
29,4,29.04.2001,2001,91,72,75,73,79,0,17,0,30,30
30,4,30.04.2001,2001,91,81,77,72,79,52,18,0,30,0
1,5,01.05.2001,2001,93,0,75,0,79,0,18,0,30,30
2,5,02.05.2001,2001,99,81,77,61,84,29,21,0,30,0
3,5,03.05.2001,2001,99,0,79,0,84,0,16,0,30,30
4,5,04.05.2001,2001,100,0,84,0,84,0,16,0,30,0
5,5,05.05.2001,2001,102,82,77,70,79,37,18,0,31,0
6,5,06.05.2001,2001,100,82,77,72,79,39,28,0,30,0
7,5,07.05.2001,2001,95,0,77,0,79,0,17,0,30,0
8,5,08.05.2001,2001,91,0,77,0,79,0,20,0,30,0
9,5,09.05.2001,2001,91,0,77,0,79,0,21,0,30,0
10,5,10.05.2001,2001,93,82,77,70,79,49,22,0,30,0
11,5,11.05.2001,2001,93,82,77,72,79,55,17,0,30,30
12,5,12.05.2001,2001,93,82,77,75,84,56,21,0,30,0
13,5,13.05.2001,2001,91,84,79,75,84,62,20,0,30,0
14,5,14.05.2001,2001,93,0,79,0,84,0,16,0,30,30
15,5,15.05.2001,2001,91,84,77,75,79,59,20,7,30,0
16,5,16.05.2001,2001,91,0,77,0,79,0,18,0,30,0
17,5,17.05.2001,2001,93,0,77,0,79,0,16,0,30,0
18,5,18.05.2001,2001,93,0,77,0,79,0,17,0,30,0
19,5,19.05.2001,2001,93,84,77,73,79,52,18,6,30,30
20,5,20.05.2001,2001,91,0,77,0,79,0,25,10,30,0
21,5,21.05.2001,2001,93,0,79,0,79,0,21,0,30,30
22,5,22.05.2001,2001,93,0,77,0,79,0,16,0,30,0
23,5,23.05.2001,2001,97,84,79,73,84,50,17,0,30,0
24,5,24.05.2001,2001,93,0,79,0,84,0,14,0,30,0
25,5,25.05.2001,2001,95,77,77,73,89,49,15,6,29,0
26,5,26.05.2001,2001,104,84,77,73,79,42,23,0,29,0
27,5,27.05.2001,2001,99,82,77,72,79,44,13,0,30,0
28,5,28.05.2001,2001,102,84,77,70,74,40,12,0,30,0
29,5,29.05.2001,2001,99,86,79,75,70,47,16,0,29,0
30,5,30.05.2001,2001,95,86,81,73,75,52,18,0,30,0
31,5,31.05.2001,2001,93,0,77,0,79,0,21,0,30,0
1,6,01.06.2001,2001,93,84,79,61,79,43,22,0,30,29
2,6,02.06.2001,2001,93,0,81,0,84,0,22,0,30,0
3,6,03.06.2001,2001,93,0,79,0,75,0,17,0,30,0
4,6,04.06.2001,2001,91,0,79,0,79,0,20,0,30,0
5,6,05.06.2001,2001,97,86,79,75,79,50,17,0,29,0
6,6,06.06.2001,2001,95,0,77,0,74,0,16,0,29,0
7,6,07.06.2001,2001,95,0,77,0,74,0,17,0,29,0
8,6,08.06.2001,2001,95,84,77,72,79,49,17,0,29,0
9,6,09.06.2001,2001,95,0,75,0,74,0,16,0,29,0
10,6,10.06.2001,2001,95,0,75,0,70,0,15,0,29,0
11,6,11.06.2001,2001,97,84,79,73,79,47,16,0,29,0
13,6,13.06.2001,2001,99,0,81,0,75,0,14,0,29,0
14,6,14.06.2001,2001,97,86,79,73,74,47,16,0,29,0
15,6,15.06.2001,2001,99,84,90,75,94,47,16,0,29,0
16,6,16.06.2001,2001,91,84,79,75,79,63,20,0,29,0
17,6,17.06.2001,2001,97,86,81,61,79,40,21,0,29,0
18,6,18.06.2001,2001,93,86,81,79,79,63,15,0,29,0
19,6,19.06.2001,2001,93,84,79,77,84,63,21,0,30,0
20,6,20.06.2001,2001,93,86,79,75,79,56,23,0,29,0
21,6,21.06.2001,2001,93,86,79,59,74,36,23,0,29,0
22,6,22.06.2001,2001,93,86,79,77,79,59,21,0,29,0
23,6,23.06.2001,2001,97,0,81,0,79,0,115,0,29,0
24,6,24.06.2001,2001,93,0,79,0,84,0,20,7,30,0
